Meldedatum,AnzahlFall,AnzahlTodesfall
2020-02-28,1,0
2020-03-03,2,0
2020-03-04,4,0
2020-03-09,5,0
2020-03-10,6,0
2020-03-11,10,0
2020-03-12,17,0
2020-03-13,27,0
2020-03-14,33,0
2020-03-15,41,0
2020-03-16,46,0
2020-03-17,93,0
2020-03-18,117,1
2020-03-19,136,2
2020-03-20,162,2
2020-03-21,177,2
2020-03-22,193,2
2020-03-23,209,2
2020-03-24,242,3
2020-03-25,275,5
2020-03-26,308,5
2020-03-27,328,5
2020-03-28,356,5
2020-03-29,362,5
2020-03-30,385,5
2020-03-31,418,5
2020-04-01,457,7
2020-04-02,471,7
2020-04-03,494,8
2020-04-04,506,9
2020-04-05,516,11
2020-04-06,525,13
2020-04-07,553,15
2020-04-08,578,17
2020-04-09,657,19
2020-04-10,715,20
2020-04-11,877,20
2020-04-12,895,20
2020-04-13,901,21
2020-04-14,919,22
2020-04-15,930,22
2020-04-16,974,24
2020-04-17,1069,24
2020-04-18,1086,24
2020-04-19,1094,25
2020-04-20,1137,28
2020-04-21,1154,29
2020-04-22,1174,29
2020-04-23,1190,29
2020-04-24,1198,29
2020-04-25,1216,30
2020-04-26,1220,30
2020-04-27,1243,30
2020-04-28,1258,31
2020-04-29,1260,31
2020-04-30,1266,31
2020-05-01,1272,31
2020-05-02,1278,32
2020-05-03,1280,32
2020-05-04,1289,32
2020-05-05,1302,32
2020-05-06,1306,33
2020-05-07,1313,34
2020-05-08,1317,34
2020-05-09,1323,35
2020-05-10,1329,35
2020-05-11,1333,35
2020-05-12,1339,35
2020-05-13,1342,35
2020-05-14,1344,35
2020-05-15,1349,35
2020-05-16,1352,35
2020-05-19,1356,36
2020-05-20,1360,36
2020-05-21,1361,37
2020-05-22,1362,37
2020-05-24,1363,37
2020-05-26,1367,37
2020-05-27,1379,37
2020-05-28,1383,37
2020-05-29,1389,37
2020-05-30,1392,37
2020-05-31,1395,37
2020-06-02,1396,37
2020-06-04,1397,37
2020-06-05,1398,37
2020-06-06,1400,37
2020-06-09,1402,37
2020-06-10,1403,37
2020-06-11,1404,37
2020-06-14,1405,37
2020-06-15,1411,37
2020-06-16,1417,37
2020-06-17,1418,37
2020-06-18,1421,37
2020-06-19,1424,37
2020-06-20,1427,37
2020-06-22,1429,37
2020-06-23,1433,37
